collision_id,crash_date,crash_time,contributing_factor_vehicle_1,contributing_factor_vehicle_2,number_of_persons_injured,number_of_persons_killed,vehicle_type_code1
4456420,2021-09-11T00:00:00.000,22:30,Unspecified,Unspecified,0,0,Sedan
4456317,2021-09-11T00:00:00.000,18:55,Unspecified,Unspecified,0,0,Tow Truck / Wrecker
4456781,2021-09-07T00:00:00.000,12:42,Unsafe Speed,Unspecified,0,0,Sedan
4457006,2021-09-10T00:00:00.000,17:39,Unsafe Lane Changing,Driver Inattention/Distraction,1,0,Station Wagon/Sport Utility Vehicle
4456149,2021-09-11T00:00:00.000,19:20,Driver Inattention/Distraction,Failure to Yield Right-of-Way,0,0,Sedan
4456667,2021-06-30T00:00:00.000,19:20,Passing or Lane Usage Improper,Unspecified,0,0,Sedan
4456885,2021-09-10T00:00:00.000,20:19,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4456595,2021-07-08T00:00:00.000,13:26,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,1,0,Pick-up Truck
4456980,2021-09-11T00:00:00.000,8:45,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4456203,2021-09-11T00:00:00.000,19:00,Unsafe Speed,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4456564,2021-07-04T00:00:00.000,23:50,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4456678,2021-07-01T00:00:00.000,8:10,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4456052,2021-09-11T00:00:00.000,3:00,Unspecified,Unspecified,0,0,Van
4514217,2022-03-25T00:00:00.000,9:55,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4456903,2021-09-01T00:00:00.000,19:30,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4456982,2021-09-10T00:00:00.000,15:20,Driver Inattention/Distraction,Driver Inattention/Distraction,1,0,Sedan
4456544,2021-09-11T00:00:00.000,15:30,Following Too Closely,Unspecified,0,0,Sedan
4456104,2021-09-11T00:00:00.000,14:34,Driver Inexperience,Unspecified,0,0,Box Truck
4456860,2021-09-10T00:00:00.000,9:00,Driver Inattention/Distraction,Unspecified,0,0,Pick-up Truck
4456454,2021-09-11T00:00:00.000,3:25,Unspecified,Unspecified,0,0,Pick-up Truck
4455840,2021-09-11T00:00:00.000,1:00,Driver Inattention/Distraction,Unspecified,0,0,Pick-up Truck
4456235,2021-09-11T00:00:00.000,11:25,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4455935,2021-09-11T00:00:00.000,21:30,Driver Inexperience,Unspecified,2,0,Sedan
4456710,2021-07-09T00:00:00.000,12:30,Driver Inattention/Distraction,Unspecified,1,0,E-Bike
4457021,2021-09-05T00:00:00.000,21:18,Unspecified,Unspecified,5,0,Sedan
4456296,2021-09-11T00:00:00.000,3:00,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4456043,2021-09-11T00:00:00.000,11:30,Unsafe Speed,Unspecified,3,0,Station Wagon/Sport Utility Vehicle
4456227,2021-09-11T00:00:00.000,21:35,Unspecified,Unspecified,0,0,Sedan
4456682,2021-07-08T00:00:00.000,16:04,Unspecified,Unspecified,0,0,Sedan
