collision_id,crash_date,crash_time,contributing_factor_vehicle_1,contributing_factor_vehicle_2,number_of_persons_injured,number_of_persons_killed,vehicle_type_code1
4407901,2021-04-15T00:00:00.000,20:02,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408104,2021-04-14T00:00:00.000,19:20,Driver Inattention/Distraction,Driver Inattention/Distraction,1,0,Sedan
4407486,2021-04-14T00:00:00.000,19:00,Unspecified,Unspecified,0,0,Sedan
4456618,2021-07-08T00:00:00.000,19:55,Other Vehicular,Other Vehicular,0,0,Sedan
4408264,2021-04-14T00:00:00.000,22:21,Driver Inattention/Distraction,Unspecified,0,0,Moped
4407678,2021-04-15T00:00:00.000,15:25,Turning Improperly,Driver Inattention/Distraction,0,0,Sedan
4407355,2021-04-14T00:00:00.000,11:30,Unsafe Speed,Unspecified,1,0,Moped
4408155,2021-04-16T00:00:00.000,23:14,Unspecified,Unspecified,3,0,Sedan
4408271,2021-04-13T00:00:00.000,9:30,Following Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408380,2021-04-16T00:00:00.000,13:59,Failure to Yield Right-of-Way,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407598,2021-04-14T00:00:00.000,6:35,Backing Unsafely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407693,2021-04-15T00:00:00.000,22:36,Alcohol Involvement,Unspecified,4,1,Sedan
4407866,2021-04-16T00:00:00.000,14:50,Driver Inexperience,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4407452,2021-04-14T00:00:00.000,18:35,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407809,2021-04-13T00:00:00.000,10:30,Driver Inattention/Distraction,Driver Inattention/Distraction,0,0,Tractor Truck Diesel
4407393,2021-04-14T00:00:00.000,6:55,Passing or Lane Usage Improper,Following Too Closely,0,0,Sedan
4407453,2021-04-14T00:00:00.000,16:58,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4408214,2021-04-12T00:00:00.000,18:30,Passing or Lane Usage Improper,Unspecified,0,0,Sedan
4407824,2021-04-16T00:00:00.000,12:10,Unspecified,Unspecified,0,0,Box Truck
4407431,2021-04-14T00:00:00.000,9:00,Unspecified,Unspecified,0,0,Sedan
4407632,2021-04-14T00:00:00.000,17:00,Unspecified,Unspecified,2,0,Sedan
4407841,2021-04-13T00:00:00.000,13:14,Turning Improperly,Turning Improperly,0,0,Sedan
4407096,2021-04-14T00:00:00.000,2:25,Traffic Control Disregarded,Unspecified,1,0,Sedan
4407658,2021-04-15T00:00:00.000,16:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407933,2021-04-16T00:00:00.000,11:35,Following Too Closely,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407976,2021-04-16T00:00:00.000,12:26,Backing Unsafely,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407714,2021-04-16T00:00:00.000,0:30,Unsafe Speed,Unspecified,1,0,Sedan
4407373,2021-04-14T00:00:00.000,17:55,Following Too Closely,Unspecified,0,0,Sedan
4407568,2021-04-14T00:00:00.000,23:36,Passing Too Closely,Unspecified,0,0,Sedan
4407707,2021-04-15T00:00:00.000,20:00,Passing or Lane Usage Improper,Unspecified,0,0,AMBULANCE
4407692,2021-04-16T00:00:00.000,6:00,Unspecified,Unspecified,0,0,Unspecified
4407615,2021-04-15T00:00:00.000,15:10,Passing or Lane Usage Improper,Unspecified,1,0,Bike
4407865,2021-04-16T00:00:00.000,20:00,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407154,2021-04-14T00:00:00.000,6:13,Unspecified,Unspecified,0,0,Sedan
4407637,2021-04-15T00:00:00.000,14:41,Unspecified,Unspecified,1,0,Sedan
4407354,2021-04-14T00:00:00.000,11:54,Failure to Yield Right-of-Way,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407793,2021-04-16T00:00:00.000,11:50,Reaction to Uninvolved Vehicle,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407432,2021-04-14T00:00:00.000,14:00,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407946,2021-04-16T00:00:00.000,23:55,Unsafe Lane Changing,Unspecified,0,0,Sedan
4407852,2021-04-16T00:00:00.000,14:30,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4408249,2021-04-15T00:00:00.000,23:00,Unspecified,Unspecified,0,0,Sedan
4456019,2021-09-11T00:00:00.000,11:30,Unspecified,Unspecified,0,0,Sedan
4407987,2021-04-15T00:00:00.000,18:00,Following Too Closely,Unspecified,0,0,Sedan
4408215,2021-04-14T00:00:00.000,20:19,Driver Inexperience,Unspecified,0,0,Sedan
4408027,2021-04-15T00:00:00.000,14:36,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4407389,2021-04-14T00:00:00.000,11:16,Other Vehicular,Other Vehicular,1,0,Station Wagon/Sport Utility Vehicle
4407562,2021-04-15T00:00:00.000,10:00,Passing or Lane Usage Improper,Unspecified,0,0,Sedan
4407794,2021-04-12T00:00:00.000,21:30,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407596,2021-04-15T00:00:00.000,14:06,Driver Inattention/Distraction,Driver Inattention/Distraction,2,0,Station Wagon/Sport Utility Vehicle
4407779,2021-04-16T00:00:00.000,7:00,Following Too Closely,Following Too Closely,1,0,Sedan
4407997,2021-04-16T00:00:00.000,15:21,Unspecified,Unspecified,0,0,Taxi
4407408,2021-04-15T00:00:00.000,0:40,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4408313,2021-04-15T00:00:00.000,18:00,Unspecified,Unspecified,0,0,Sedan
4456486,2021-09-11T00:00:00.000,16:30,Failure to Yield Right-of-Way,Unspecified,0,0,Sedan
4407747,2021-04-15T00:00:00.000,8:40,Passing or Lane Usage Improper,Driver Inattention/Distraction,0,0,Station Wagon/Sport Utility Vehicle
4408402,2021-04-16T00:00:00.000,17:25,Driver Inattention/Distraction,View Obstructed/Limited,0,0,Station Wagon/Sport Utility Vehicle
4407702,2021-04-16T00:00:00.000,6:40,Unspecified,Unspecified,0,0,Sedan
4407652,2021-04-15T00:00:00.000,14:00,Following Too Closely,Following Too Closely,1,0,Station Wagon/Sport Utility Vehicle
4407762,2021-04-15T00:00:00.000,11:00,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4407297,2021-04-14T00:00:00.000,9:31,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407321,2021-04-14T00:00:00.000,12:40,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408100,2021-04-08T00:00:00.000,21:52,Unspecified,Unspecified,0,0,Sedan
4407505,2021-04-14T00:00:00.000,8:58,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408047,2021-04-09T00:00:00.000,1:15,Following Too Closely,Unspecified,0,0,Sedan
4407805,2021-04-14T00:00:00.000,17:30,Turning Improperly,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407697,2021-04-15T00:00:00.000,0:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407367,2021-04-14T00:00:00.000,8:30,Unspecified,Unspecified,0,0,Sedan
4407837,2021-04-05T00:00:00.000,16:21,Passing Too Closely,Unspecified,3,0,Station Wagon/Sport Utility Vehicle
4407548,2021-04-14T00:00:00.000,10:40,Failure to Yield Right-of-Way,Unsafe Speed,1,0,Taxi
4407820,2021-04-16T00:00:00.000,8:30,Unspecified,Unspecified,0,0,Trailer
4456635,2021-07-08T00:00:00.000,16:45,View Obstructed/Limited,View Obstructed/Limited,1,0,Sedan
4408150,2021-04-16T00:00:00.000,18:50,Unspecified,Unspecified,0,0,Sedan
4407842,2021-04-16T00:00:00.000,15:23,Following Too Closely,Unspecified,1,0,Sedan
4407673,2021-04-15T00:00:00.000,17:55,Pavement Slippery,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4407278,2021-04-14T00:00:00.000,0:42,Unspecified,Unspecified,0,0,Taxi
4407459,2021-04-14T00:00:00.000,12:30,Driver Inattention/Distraction,Unspecified,1,0,Van
4407514,2021-04-15T00:00:00.000,8:30,Unspecified,Unspecified,0,0,Bus
4408367,2021-04-15T00:00:00.000,18:36,Driver Inattention/Distraction,Unspecified,2,0,Sedan
4407313,2021-04-14T00:00:00.000,13:45,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407396,2021-04-14T00:00:00.000,19:46,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407883,2021-04-13T00:00:00.000,17:11,Following Too Closely,Unspecified,0,0,Sedan
4407611,2021-04-15T00:00:00.000,16:18,Unsafe Speed,Unspecified,0,0,Sedan
4408053,2021-04-15T00:00:00.000,12:40,Backing Unsafely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407905,2021-04-16T00:00:00.000,17:45,Failure to Yield Right-of-Way,Unspecified,0,0,Sedan
4407642,2021-04-15T00:00:00.000,20:00,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,1,0,Taxi
4407556,2021-04-15T00:00:00.000,11:45,Unsafe Lane Changing,Unspecified,0,0,Sedan
4407774,2021-04-05T00:00:00.000,16:27,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407360,2021-04-14T00:00:00.000,13:30,Passing or Lane Usage Improper,Unspecified,0,0,Sedan
4408139,2021-04-14T00:00:00.000,18:56,Pavement Defective,Unspecified,1,0,Motorcycle
4407848,2021-04-16T00:00:00.000,9:10,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407401,2021-04-15T00:00:00.000,1:30,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4485464,2021-12-10T00:00:00.000,12:15,Backing Unsafely,Unspecified,0,0,Sedan
4408223,2021-04-12T00:00:00.000,6:00,Other Lighting Defects,Unspecified,0,0,Garbage or Refuse
4408075,2021-04-14T00:00:00.000,19:50,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407967,2021-04-16T00:00:00.000,11:30,Unspecified,Unspecified,0,0,Sedan
4407875,2021-04-16T00:00:00.000,23:45,Reaction to Uninvolved Vehicle,Unspecified,0,0,Pick-up Truck
4407915,2021-04-11T00:00:00.000,18:45,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408258,2021-04-16T00:00:00.000,8:30,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4408033,2021-04-15T00:00:00.000,19:39,Unspecified,Unspecified,1,0,Unspecified
4408308,2021-04-14T00:00:00.000,21:00,Following Too Closely,Turning Improperly,2,0,Sedan
4407869,2021-04-16T00:00:00.000,19:00,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407732,2021-04-15T00:00:00.000,23:30,Driver Inattention/Distraction,Unspecified,0,0,Van
4407684,2021-04-15T00:00:00.000,17:11,Driver Inattention/Distraction,Driver Inattention/Distraction,1,0,Sedan
4407602,2021-04-15T00:00:00.000,2:00,Passing or Lane Usage Improper,Unspecified,0,0,Box Truck
4407959,2021-04-16T00:00:00.000,19:54,Unspecified,Unspecified,0,0,Taxi
4408397,2021-04-08T00:00:00.000,9:21,Unspecified,Unspecified,0,0,Sedan
4408067,2021-04-16T00:00:00.000,9:50,Unspecified,Unspecified,0,0,Sedan
4408279,2021-04-16T00:00:00.000,12:10,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407723,2021-04-14T00:00:00.000,8:40,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408198,2021-04-16T00:00:00.000,23:25,Unsafe Lane Changing,Unspecified,0,0,Sedan
4407501,2021-04-14T00:00:00.000,20:25,Unspecified,Unspecified,2,0,Sedan
4408119,2021-04-15T00:00:00.000,21:04,Failure to Yield Right-of-Way,Unspecified,2,0,Taxi
4408359,2021-04-09T00:00:00.000,12:00,Driver Inattention/Distraction,Oversized Vehicle,0,0,Sedan
4407816,2021-04-16T00:00:00.000,10:05,Brakes Defective,Unspecified,1,0,Pick-up Truck
4407168,2021-04-14T00:00:00.000,7:00,Fell Asleep,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407543,2021-04-15T00:00:00.000,8:23,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4407801,2021-04-15T00:00:00.000,12:00,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407346,2021-04-14T00:00:00.000,14:10,Traffic Control Disregarded,Unspecified,0,0,SCHOOL BUS
4407769,2021-04-14T00:00:00.000,23:10,Unspecified,Unspecified,2,0,Sedan
4455856,2021-09-11T00:00:00.000,10:59,Obstruction/Debris,Driver Inexperience,0,0,Station Wagon/Sport Utility Vehicle
4408093,2021-04-15T00:00:00.000,12:30,Oversized Vehicle,Unspecified,0,0,Sedan
4407475,2021-04-14T00:00:00.000,18:45,Animals Action,Unspecified,0,0,Motorcycle
4408113,2021-03-20T00:00:00.000,15:58,Passing Too Closely,Passing Too Closely,0,0,Station Wagon/Sport Utility Vehicle
4407833,2021-04-14T00:00:00.000,11:50,Unspecified,Unspecified,0,0,Sedan
4407923,2021-04-16T00:00:00.000,8:41,Driver Inattention/Distraction,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407424,2021-04-14T00:00:00.000,13:30,Failure to Yield Right-of-Way,Driver Inattention/Distraction,0,0,Station Wagon/Sport Utility Vehicle
4407741,2021-04-14T00:00:00.000,0:00,Traffic Control Disregarded,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407891,2021-04-09T00:00:00.000,10:15,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407647,2021-04-14T00:00:00.000,15:05,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407909,2021-04-16T00:00:00.000,0:00,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407439,2021-04-14T00:00:00.000,18:00,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407604,2021-04-15T00:00:00.000,12:17,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4407752,2021-04-15T00:00:00.000,10:37,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4407380,2021-04-14T00:00:00.000,19:15,Failure to Yield Right-of-Way,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408037,2021-04-16T00:00:00.000,21:30,Unspecified,Unspecified,0,0,Sedan
4408416,2021-04-11T00:00:00.000,11:50,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407549,2021-04-15T00:00:00.000,9:57,Passing Too Closely,Unspecified,0,0,Sedan
4408002,2021-04-15T00:00:00.000,13:07,Unspecified,Unspecified,0,0,Sedan
4408227,2021-04-14T00:00:00.000,11:30,Driver Inattention/Distraction,Unspecified,1,0,Taxi
4408262,2021-04-13T00:00:00.000,7:25,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407897,2021-04-16T00:00:00.000,18:03,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408187,2021-04-16T00:00:00.000,21:00,Unsafe Lane Changing,Following Too Closely,0,0,Sedan
4407975,2021-04-16T00:00:00.000,10:40,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4408164,2021-04-16T00:00:00.000,20:07,Failure to Yield Right-of-Way,Unspecified,0,0,Sedan
4407910,2021-04-16T00:00:00.000,12:42,Following Too Closely,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4408085,2021-04-15T00:00:00.000,22:22,Unspecified,Unspecified,0,0,Sedan
4408250,2021-04-16T00:00:00.000,18:40,Unsafe Lane Changing,Unspecified,1,0,Sedan
4408028,2021-04-15T00:00:00.000,12:38,Unsafe Lane Changing,Unspecified,1,0,Sedan
4407580,2021-04-14T00:00:00.000,12:20,Unspecified,Unspecified,0,0,Sedan
4408302,2021-04-14T00:00:00.000,20:50,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4407400,2021-04-14T00:00:00.000,2:30,Turning Improperly,Unspecified,0,0,Sedan
4408128,2021-04-16T00:00:00.000,12:38,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407806,2021-04-15T00:00:00.000,13:31,Passing or Lane Usage Improper,Unspecified,0,0,Pick-up Truck
4408194,2021-04-15T00:00:00.000,15:20,Following Too Closely,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4408289,2021-04-16T00:00:00.000,15:00,Passing Too Closely,Unspecified,0,0,Box Truck
4407953,2021-04-16T00:00:00.000,12:50,Traffic Control Disregarded,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408391,2021-04-06T00:00:00.000,8:50,Outside Car Distraction,Driver Inattention/Distraction,0,0,Sedan
4408204,2021-04-15T00:00:00.000,0:00,Unspecified,Unspecified,0,0,Sedan
4407870,2021-04-01T00:00:00.000,4:46,Turning Improperly,Turning Improperly,0,0,Sedan
4407524,2021-04-14T00:00:00.000,22:17,Unspecified,Unspecified,0,0,Sedan
4408353,2021-04-16T00:00:00.000,14:35,Driver Inattention/Distraction,Unspecified,0,0,Lift Boom
4407243,2021-04-14T00:00:00.000,2:09,Alcohol Involvement,Unspecified,1,0,Sedan
4407445,2021-04-14T00:00:00.000,15:25,Reaction to Uninvolved Vehicle,Following Too Closely,1,0,Sedan
4408056,2021-04-16T00:00:00.000,10:00,Unspecified,Unspecified,0,0,Sedan
4407327,2021-04-14T00:00:00.000,13:40,Unspecified,Unspecified,2,0,Sedan
4407784,2021-04-16T00:00:00.000,10:10,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407928,2021-04-14T00:00:00.000,11:46,Driver Inattention/Distraction,Unspecified,1,0,Bike
4408107,2021-04-06T00:00:00.000,16:00,Driver Inattention/Distraction,Unspecified,1,0,Bus
4456830,2021-09-10T00:00:00.000,0:00,Unspecified,Unspecified,1,0,Sedan
4407454,2021-04-14T00:00:00.000,13:00,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407372,2021-04-14T00:00:00.000,13:30,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407444,2021-04-14T00:00:00.000,21:24,Reaction to Uninvolved Vehicle,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407756,2021-04-13T00:00:00.000,20:15,Following Too Closely,Following Too Closely,2,0,Station Wagon/Sport Utility Vehicle
4407620,2021-04-15T00:00:00.000,10:30,Passing Too Closely,Unspecified,1,0,Sedan
4407412,2021-04-14T00:00:00.000,23:30,Reaction to Uninvolved Vehicle,Unspecified,6,0,Taxi
4407633,2021-04-15T00:00:00.000,19:00,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407119,2021-04-14T00:00:00.000,4:35,Unsafe Lane Changing,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407660,2021-04-14T00:00:00.000,23:46,Unspecified,Unspecified,2,0,Station Wagon/Sport Utility Vehicle
4408154,2021-04-15T00:00:00.000,12:30,Illnes,Unspecified,1,0,Sedan
4407773,2021-04-04T00:00:00.000,21:43,Unsafe Speed,Unspecified,0,0,Sedan
4407567,2021-04-15T00:00:00.000,13:18,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407938,2021-04-14T00:00:00.000,13:36,Following Too Closely,Unspecified,1,0,Pick-up Truck
4407713,2021-04-16T00:00:00.000,0:30,Unsafe Speed,Unspecified,0,0,Sedan
4408017,2021-04-11T00:00:00.000,13:40,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408208,2021-04-16T00:00:00.000,17:50,Alcohol Involvement,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408043,2021-04-16T00:00:00.000,16:01,Unsafe Speed,Unspecified,0,0,Sedan
4408233,2021-03-28T00:00:00.000,18:30,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407990,2021-04-12T00:00:00.000,20:00,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4408079,2021-04-02T00:00:00.000,21:15,Unsafe Speed,Unspecified,0,0,Sedan
4408217,2021-04-16T00:00:00.000,15:05,Following Too Closely,Unspecified,0,0,Sedan
4408331,2021-04-16T00:00:00.000,15:45,Failure to Yield Right-of-Way,Unspecified,1,0,Sedan
4407698,2021-04-15T00:00:00.000,8:20,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407825,2021-04-10T00:00:00.000,19:09,Unspecified,Unspecified,0,0,Sedan
4408411,2021-04-12T00:00:00.000,6:55,Following Too Closely,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4408122,2021-04-15T00:00:00.000,18:20,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407838,2021-04-11T00:00:00.000,1:36,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4456364,2021-09-11T00:00:00.000,4:27,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407948,2021-04-16T00:00:00.000,22:42,Passing or Lane Usage Improper,Passing or Lane Usage Improper,0,0,Sedan
4407843,2021-04-14T00:00:00.000,23:32,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4407515,2021-04-15T00:00:00.000,8:30,Unspecified,Unspecified,1,0,Taxi
4407312,2021-04-14T00:00:00.000,11:26,Driver Inattention/Distraction,Unspecified,1,0,Sedan
4407314,2021-04-14T00:00:00.000,11:00,Unsafe Speed,Unsafe Lane Changing,0,0,Sedan
4407489,2021-04-14T00:00:00.000,12:37,Passing or Lane Usage Improper,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407656,2021-04-14T00:00:00.000,0:25,Unsafe Speed,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407332,2021-04-14T00:00:00.000,12:45,Unspecified,Unspecified,0,0,Sedan
4407506,2021-04-14T00:00:00.000,14:25,Unspecified,Unspecified,1,0,Taxi
4408401,2021-04-14T00:00:00.000,23:20,Unspecified,Unspecified,1,0,Sedan
4407677,2021-04-15T00:00:00.000,18:45,Other Vehicular,Other Vehicular,0,0,Sedan
4407359,2021-04-14T00:00:00.000,15:34,Reaction to Uninvolved Vehicle,Unspecified,1,0,Sedan
4408060,2021-04-16T00:00:00.000,23:30,Unspecified,Unspecified,0,0,Sedan
4407533,2021-04-15T00:00:00.000,3:46,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4408266,2021-04-08T00:00:00.000,0:00,Following Too Closely,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407696,2021-04-14T00:00:00.000,13:20,Unspecified,Unspecified,0,0,Sedan
4407261,2021-04-14T00:00:00.000,6:15,Unspecified,Unspecified,0,0,Tractor Truck Diesel
4407857,2021-04-16T00:00:00.000,15:12,Unspecified,Unspecified,1,0,Sedan
4407490,2021-04-14T00:00:00.000,19:30,Failure to Yield Right-of-Way,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407788,2021-04-14T00:00:00.000,10:30,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4408379,2021-04-15T00:00:00.000,6:00,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408103,2021-04-13T00:00:00.000,16:20,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408076,2021-04-15T00:00:00.000,1:20,Unspecified,Unspecified,1,0,Bike
4408049,2021-04-12T00:00:00.000,18:00,Failure to Yield Right-of-Way,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407527,2021-04-14T00:00:00.000,17:25,Unspecified,Unspecified,0,0,Sedan
4407836,2021-04-12T00:00:00.000,19:45,Other Vehicular,Unspecified,0,0,Sedan
4408274,2021-04-16T00:00:00.000,16:46,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407547,2021-04-15T00:00:00.000,9:20,Unsafe Lane Changing,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407815,2021-04-15T00:00:00.000,13:30,Failure to Yield Right-of-Way,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408375,2021-04-14T00:00:00.000,17:45,Unspecified,Unspecified,0,0,Sedan
4407279,2021-04-14T00:00:00.000,9:30,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407331,2021-04-14T00:00:00.000,0:00,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407686,2021-04-15T00:00:00.000,16:54,Unspecified,Unspecified,1,0,Sedan
4408398,2021-04-15T00:00:00.000,19:20,Pavement Slippery,Following Too Closely,0,0,Sedan
4408066,2021-04-16T00:00:00.000,0:17,Unspecified,Unspecified,0,0,Sedan
4408309,2021-04-16T00:00:00.000,13:02,Passing Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4408068,2021-04-16T00:00:00.000,11:38,Unspecified,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407691,2021-04-15T00:00:00.000,22:50,Unspecified,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407353,2021-04-14T00:00:00.000,13:07,Following Too Closely,Unspecified,1,0,Bike
4407433,2021-04-14T00:00:00.000,18:49,Turning Improperly,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407679,2021-04-15T00:00:00.000,22:35,Traffic Control Disregarded,Traffic Control Disregarded,0,0,Sedan
4407566,2021-04-14T00:00:00.000,22:20,Other Vehicular,Unspecified,0,0,Sedan
4408026,2021-04-16T00:00:00.000,6:30,Unspecified,Unspecified,0,0,Sedan
4407651,2021-04-14T00:00:00.000,17:30,Unspecified,Unspecified,0,0,Sedan
4407296,2021-04-14T00:00:00.000,9:50,Unspecified,Unspecified,1,0,Sedan
4407826,2021-04-16T00:00:00.000,12:00,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4408186,2021-04-16T00:00:00.000,11:30,Following Too Closely,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407368,2021-04-14T00:00:00.000,8:00,Driver Inattention/Distraction,Unspecified,0,0,Bus
4407804,2021-04-13T00:00:00.000,9:35,Following Too Closely,Unspecified,1,0,Station Wagon/Sport Utility Vehicle
4407242,2021-04-14T00:00:00.000,6:10,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407858,2021-04-16T00:00:00.000,18:18,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407795,2021-04-16T00:00:00.000,9:40,Unspecified,Unspecified,1,0,Sedan
4407347,2021-04-14T00:00:00.000,12:00,Traffic Control Disregarded,Unspecified,1,0,Sedan
4408059,2016-04-16T00:00:00.000,14:20,Driver Inattention/Distraction,Unspecified,0,0,Sedan
4407715,2021-04-16T00:00:00.000,1:30,Unsafe Lane Changing,Unspecified,0,0,Sedan
4408114,2021-04-10T00:00:00.000,23:05,Driver Inattention/Distraction,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407480,2021-04-14T00:00:00.000,5:32,Following Too Closely,Unspecified,0,0,Sedan
4408312,2021-04-16T00:00:00.000,6:49,Passing Too Closely,Passing Too Closely,0,0,Bus
4407922,2021-04-15T00:00:00.000,22:15,Unsafe Speed,Unspecified,0,0,Sedan
4407342,2021-04-14T00:00:00.000,15:10,Traffic Control Disregarded,Unspecified,0,0,Station Wagon/Sport Utility Vehicle
4407882,2021-04-16T00:00:00.000,17:04,Following Too Closely,Unspecified,0,0,Sedan
4407748,2021-04-15T00:00:00.000,13:30,Unspecified,Unspecified,0,0,Sedan
4407619,2021-04-15T00:00:00.000,16:50,Driver Inattention/Distraction,Driver Inattention/Distraction,0,0,Pick-up Truck
4407534,2021-04-14T00:00:00.000,16:02,Following Too Closely,Unspecified,0,0,Sedan
