unique_id,collision_id,person_type,person_age,person_sex,contributing_factor_1
10254291,4224023,Occupant,70.0,F,
10253541,4230728,Occupant,21.0,M,
10251370,4230021,Occupant,30.0,M,
10250118,4230518,Occupant,2.0,M,
10252787,4230640,Occupant,0.0,M,
10253572,4230835,Occupant,66.0,F,
6241383,3493492,Occupant,,,
10253801,4230924,Occupant,28.0,M,
10253218,4230987,Occupant,62.0,M,
10254507,4230702,Occupant,47.0,M,
10251743,4230495,Occupant,47.0,M,
10254359,4231104,Occupant,,,
10248660,4229589,Occupant,,,
10253251,4231058,Occupant,41.0,F,
10255011,4230589,Occupant,39.0,M,
10249844,4230242,Occupant,8.0,M,
10250920,4230516,Occupant,38.0,F,
10249843,4230242,Bicyclist,47.0,M,
10253137,4230544,Occupant,27.0,M,
10251318,4230029,Occupant,29.0,M,
10253297,4230995,Occupant,44.0,M,
10253678,4230815,Occupant,63.0,F,
10249188,4230420,Occupant,,,
10249380,4230260,Occupant,43.0,F,
10254946,4230866,Occupant,11.0,F,
10253516,4230733,Occupant,50.0,M,
10248572,4229715,Occupant,35.0,F,
10248443,4229629,Occupant,22.0,M,
10253803,4230924,Occupant,22.0,F,
10248442,4229562,Occupant,,,
10254461,4230680,Occupant,47.0,M,
10254781,4230808,Occupant,6.0,M,
10248679,4229714,Occupant,29.0,M,
10252961,4230838,Occupant,37.0,M,
10248938,4229568,Occupant,56.0,M,
10255096,4230671,Occupant,23.0,F,
10255146,4230677,Occupant,33.0,M,
10253802,4230924,Occupant,22.0,F,
10252725,4231185,Occupant,,U,
10253580,4230734,Occupant,,U,
10248386,4229666,Occupant,,,
10253796,4230923,Occupant,,,
10253344,4231057,Occupant,52.0,M,
10246932,4229480,Occupant,,U,
10254827,4230567,Occupant,29.0,F,
10246617,4229477,Occupant,45.0,M,
10251451,4230116,Occupant,33.0,M,
10255278,4230862,Occupant,37.0,F,
10251485,4230204,Occupant,42.0,M,
10252976,4230907,Occupant,42.0,M,
10248810,4229585,Occupant,55.0,M,
10255122,4230606,Occupant,33.0,M,
10253907,4222651,Occupant,27.0,M,
10249531,4230512,Occupant,21.0,M,
10249190,4230420,Occupant,61.0,M,
10255110,4230639,Occupant,43.0,F,
10251985,4229947,Occupant,49.0,M,
10251360,4230019,Occupant,28.0,M,
10252455,4229756,Occupant,35.0,M,
10253229,4230994,Occupant,38.0,M,
10253798,4230917,Occupant,79.0,M,
10249734,4229880,Occupant,39.0,M,
10254308,4231012,Occupant,,U,
10253047,4230559,Occupant,43.0,M,
10253125,4230580,Occupant,42.0,M,
10248718,4229637,Occupant,6.0,M,
10248725,4229641,Occupant,34.0,F,
10249118,4230407,Occupant,,,
10251599,4230333,Occupant,38.0,M,
10249117,4230407,Occupant,42.0,F,
10251060,4230115,Occupant,,U,
10252301,4229757,Occupant,,,
10254284,4231178,Occupant,29.0,M,
10254058,4230979,Occupant,,U,
10250116,4230518,Occupant,9.0,F,
6174789,3493940,Occupant,,,
10253960,4230611,Occupant,22.0,M,
6437325,3459496,Occupant,,,
10250666,4230235,Occupant,57.0,M,
10246621,4229477,Occupant,50.0,M,
10248074,4229503,Occupant,29.0,M,
10250822,4230375,Occupant,37.0,M,
10248295,4229643,Occupant,27.0,M,
10254974,4230568,Occupant,,F,
10251741,4230494,Occupant,,M,
10253168,4230563,Occupant,51.0,M,
10253916,4230957,Occupant,45.0,F,
10252643,4230551,Occupant,,,
10254729,4230748,Occupant,51.0,F,
10254313,4231028,Occupant,,U,
10249702,4229828,Occupant,33.0,M,
10248421,4229608,Occupant,51.0,M,
10254942,4230866,Occupant,11.0,M,
10253360,4230902,Occupant,37.0,M,
10255131,4230666,Occupant,37.0,M,
10251500,4229832,Occupant,53.0,M,
10252813,4231121,Occupant,67.0,M,
10249455,4229724,Occupant,18.0,M,
10253163,4230570,Occupant,36.0,M,
10254481,4230689,Occupant,,F,
10248427,4229708,Occupant,45.0,F,
10255104,4230613,Occupant,19.0,F,
10249154,4229631,Occupant,25.0,M,
10250121,4229875,Occupant,18.0,M,
10251450,4230116,Occupant,50.0,M,
10251992,4229952,Occupant,57.0,M,
10252954,4230839,Occupant,34.0,M,
10252424,4229777,Occupant,34.0,M,
10254485,4230696,Occupant,37.0,M,
10252823,4231119,Occupant,56.0,M,
10249576,4230293,Occupant,28.0,F,
10248674,4229714,Occupant,64.0,M,
10254003,4230621,Occupant,57.0,M,
10252002,4229950,Occupant,55.0,M,
10251721,4230500,Occupant,38.0,F,
10254975,4230568,Occupant,,M,
10248164,4229687,Occupant,,M,
10249285,4230174,Occupant,27.0,M,
10253811,4230929,Occupant,,U,
10252489,4229764,Occupant,30.0,M,
10252867,4231135,Occupant,42.0,M,
10251003,4229997,Occupant,43.0,M,
10252790,4230643,Occupant,39.0,M,
10255063,4230669,Occupant,50.0,F,
10255097,4230671,Occupant,26.0,M,
10254801,4230807,Occupant,57.0,M,
10253713,4230786,Occupant,5.0,F,
10255139,4230607,Occupant,38.0,M,
10248947,4229617,Occupant,42.0,M,
10251604,4230342,Occupant,48.0,M,
10251165,4230413,Occupant,41.0,M,
10248382,4229662,Occupant,73.0,F,
10253753,4230977,Occupant,50.0,M,
10251609,4230342,Occupant,,,
10250846,4230378,Occupant,77.0,M,
10251359,4230019,Occupant,64.0,F,
10253969,4230625,Occupant,22.0,M,
10254787,4230819,Occupant,53.0,M,
10250402,4230152,Occupant,1.0,F,
10255076,4230650,Occupant,15.0,F,
10248275,4229598,Occupant,33.0,F,
10246837,4229479,Occupant,35.0,M,
10255326,4230960,Occupant,35.0,F,
10248604,4229638,Occupant,78.0,F,
10251126,4230111,Occupant,26.0,M,
10255313,4230973,Occupant,59.0,F,
10248656,4229636,Occupant,72.0,M,
10248875,4229555,Occupant,81.0,M,
10250404,4230152,Occupant,41.0,M,
10250812,4230368,Occupant,,,
10251478,4230195,Occupant,,U,
10249001,4229550,Occupant,43.0,M,
10255111,4230639,Occupant,52.0,F,
10253642,4230813,Occupant,,U,
10252818,4231117,Occupant,,,
10251811,4230283,Occupant,54.0,F,
10249332,4229971,Pedestrian,67.0,F,Unspecified
10251601,4230333,Occupant,37.0,M,
10250424,4230165,Occupant,,M,
10249595,4230297,Occupant,23.0,F,
10252884,4231123,Occupant,61.0,M,
10248710,4229547,Occupant,,,
10253790,4230915,Occupant,,,
10253666,4230783,Occupant,36.0,F,
10249783,4230057,Occupant,,U,
10252276,4229851,Occupant,38.0,F,
10250105,4229889,Occupant,,,
10254289,4224023,Occupant,,M,
10249941,4229831,Occupant,34.0,M,
10255033,4230636,Occupant,,F,
10253101,4211555,Occupant,40.0,M,
10255108,4230623,Occupant,,M,
10253712,4230786,Occupant,32.0,M,
10254817,4230764,Occupant,1.0,F,
10249371,4230264,Occupant,19.0,F,
10247089,4229484,Occupant,35.0,M,
10249377,4230260,Occupant,36.0,F,
10248722,4229637,Occupant,36.0,F,
5727958,3430362,Occupant,,,
10254558,4230715,Occupant,71.0,M,
10253116,4231049,Occupant,,M,
10251619,4230338,Occupant,25.0,M,
10250434,4230155,Occupant,,M,
10255109,4230639,Occupant,35.0,M,
10252309,4229897,Occupant,26.0,F,
10254932,4230637,Occupant,42.0,F,
10254515,4230710,Occupant,34.0,M,
10253191,4230574,Occupant,23.0,M,
10252981,4230768,Occupant,35.0,M,
10253431,4230861,Occupant,19.0,M,
10249850,4230250,Occupant,25.0,F,
10248874,4229555,Occupant,70.0,F,
10248401,4229634,Occupant,20.0,M,
10253217,4230987,Occupant,62.0,M,
10254813,4230765,Occupant,32.0,F,
10249820,4230402,Occupant,19.0,M,
10255522,4231167,Occupant,,U,
10253708,4230785,Pedestrian,59.0,F,Unspecified
10248939,4229568,Occupant,47.0,M,
10249944,4229831,Occupant,6.0,F,
10249736,4229880,Occupant,,M,
10255327,4230960,Occupant,40.0,M,
10249758,4230066,Occupant,26.0,M,
10251124,4230464,Occupant,53.0,F,
10253365,4230903,Occupant,58.0,M,
10254512,4230702,Occupant,47.0,M,
10251685,4229720,Occupant,,U,
10255258,4230901,Occupant,32.0,F,
10255130,4230666,Occupant,,,
10253212,4230564,Occupant,57.0,M,
10252648,4230675,Occupant,37.0,M,
10253105,4192249,Occupant,,U,
10251321,4230030,Occupant,9.0,M,
10254959,4230866,Occupant,11.0,F,
10249713,4229854,Occupant,,,
10248480,4229612,Occupant,,,
10254931,4230637,Occupant,42.0,F,
10253856,4230946,Occupant,,F,
10249827,4230417,Pedestrian,14.0,F,Unspecified
10248376,4229505,Occupant,,M,
6377814,3491131,Occupant,,,
10253305,4230967,Occupant,,M,
10248726,4229641,Occupant,57.0,M,
10254438,4230678,Occupant,48.0,F,
10249782,4230057,Occupant,29.0,F,
10254297,4231177,Occupant,39.0,F,
10251344,4230018,Occupant,35.0,M,
10248727,4229704,Occupant,34.0,M,
10248946,4229619,Occupant,54.0,M,
10249204,4230433,Occupant,,F,
10250232,4230220,Occupant,67.0,M,
10253304,4230967,Occupant,53.0,M,
10252628,4230916,Occupant,64.0,M,
10253649,4230791,Occupant,,,
10251367,4230033,Pedestrian,18.0,F,Unspecified
10249817,4230396,Occupant,51.0,M,
10251064,4230108,Occupant,57.0,M,
10251722,4230500,Occupant,25.0,M,
10254546,4230683,Occupant,,M,
10253389,4229656,Occupant,,,
10248273,4229598,Occupant,42.0,F,
10250511,4229914,Occupant,66.0,M,
10252298,4229757,Occupant,55.0,M,
10253983,4230626,Occupant,54.0,F,
10271110,4234592,Occupant,,,
